,banco,fecha,texto,src,rt,fav,country,type,place,desde,sigue_a,lo_siguen
208,citibanamex,2020-10-17 17:15:54,"Hugoever_d según sea el caso. Se trata de una medida de prevención adicional a las ya implementadas.   Por favor, localiza la sucursal (entre semana) abierta más cercana o alguno de nuestros ATM`s en https://t.co/d8ayQup2IR. También puedes consultar la lista de",Sprinklr,0,0,,,,2009-07-28 21:15:49,74597,161712
209,citibanamex,2020-10-17 17:11:52,"NachoRgz También con la tarjeta Banamex te dan buenos descuentos,  😌👍",Twitter for Android,0,0,,,,2020-06-26 19:12:50,111,103
210,citibanamex,2020-10-17 17:10:55,"Hacia la avenida y me pase por detrás del puesto que está en la esquina, tomen precauciones quienes van al cajero de BBVA o Banamex de la zona",Twitter for Android,4,0,,,,2016-03-28 14:44:35,1004,2613
211,citibanamex,2020-10-17 17:10:52,"Me dirigía hacia el banamex que está en esquina con Pablo Neruda cuando el chavo que caminaba en sentido contrario se me puso enfrente y le dijo que le diera mi celular y el reloj, dijo que me daría un plomazo pero al ver que venía gente y los coches me baje de la banqueta",Twitter for Android,4,0,,,,2016-03-28 14:44:35,1004,2613
213,citibanamex,2020-10-17 17:05:27,Soyfurrr Necesitas ver tus necesidades del uso de la tarjeta para buscar beneficios que te de pra ello por ejemplo la de banamex que te da doble de gasolina yo que me muevo mucho me queda super,Twitter for iPhone,0,0,,,,2013-04-04 06:47:52,30,14
217,citibanamex,2020-10-17 16:19:24,"MarchantitaS EstulinDaniel emeequis Por supuestos que los rateros están dentro del mismo banco puesto que también hay llamadas que vieneen dentro del mismo banco  Hace años a mi mamá le llamaron de Banamex también y el teléfono era del banco, pero afortunadamente no dio datos y no pudieron hacer nada",Twitter for Mac,0,0,,,,2018-10-13 03:54:34,889,1229
218,citibanamex,2020-10-17 16:03:43,xNoah31 en el área de servicio a clientes. https://t.co/fnXmLngSiq  ¿Con la información proporcionada fue resuelto tu requerimiento?  Saludos. CT,Sprinklr,0,0,,,,2009-07-28 21:15:49,74597,161712
219,citibanamex,2020-10-17 16:00:25,"🥺😭 ¡Por favor ayuda! Tristemente no ha habido apoyos para Salem y ayer no pudo asistir a su curación 😿 🅾️Consultorio Veterinario Jade 209, Las Piedras 🅰️4766 8414 4867 4591 Banamex  🅱️https://t.co/0T45oRZEFW PayPal  Tu participación es muy importante para Salem 🥺😭 https://t.co/dbnIqRv0Ae",Twitter for iPhone,0,1,,,,2017-02-18 18:37:19,5,82
220,citibanamex,2020-10-17 15:59:44,SantanderMx EstulinDaniel emeequis No se lee convincente su comunicado  Yo ni de chiste tengo una cuenta con ustedes y Banamex,Twitter for iPhone,0,0,,,,2012-03-20 01:04:06,510,211
221,citibanamex,2020-10-17 15:53:40,"romanosanz67 realizarlo a través de cualquiera de las siguientes opciones:  • Banca Electrónica BancaNet • Citibanamex Móvil • Sucursales Automáticas • Sucursales Citibanamex • Cajeros Automáticos • Tiendas departamentales o de autoservicio, conoce cuales son: https://t.co/mNLLglHkEZ",Sprinklr,0,0,,,,2009-07-28 21:15:49,74597,161712
222,citibanamex,2020-10-17 15:22:26,"lccmauriciodiaz Hola Mauricio,  te compartimos los números de contacto para poder validar la situación con tus puntos Thankyou y tu compra: Comunícate desde la Ciudad de México 1226 2639 (1 BANAMEX)  Del interior de la República sin costo  01 800 021 2345 Con horario de atención 24/7",Sprinklr,0,0,,,,2009-07-28 21:15:49,74597,161712
223,citibanamex,2020-10-17 15:17:10,ContactoCitibmx Por esta razón me comuniqué a línea Banamex y me cuelgan,Twitter for iPhone,0,0,,,,2020-10-17 14:59:03,2,0
224,citibanamex,2020-10-17 15:04:19,Mientras tú me ignoras...  ...esos del Banamex me llaman hasta 67 veces en un día  nomás para insistirme en que ya les pague 😅,Twitter for Android,64,0,,,,2009-05-02 16:14:59,1880,1732
225,citibanamex,2020-10-17 15:04:01,ContactoCitibmx buenos días. Tengo un cargo que no se el origen y llamo a línea Banamex y me cuelgan? Qué hago? estoy en el extranjero.,Twitter for iPhone,0,0,,,,2020-10-17 14:59:03,2,0
227,citibanamex,2020-10-17 15:02:05,"ContactoCitibmx Nop, no ha sido resuelto. Necesito recibir llamada o contacto de CANCELABIS de BANAMEX (en sus teléfonos nunca contestan y no responden emails) para recibir testimonio cancelación hipoteca (por cierto tuve que pagar $2000 por el trámite) CondusefMX",Twitter for iPhone,0,0,,,,2011-12-27 21:55:42,184,41
230,citibanamex,2020-10-17 14:42:04,Sucursal 7012 Cta. 7105276. De Banamex.  Puedes hacer tus depósitos .,Twitter for Android,0,0,,,,2016-01-14 01:49:38,287,31
231,citibanamex,2020-10-17 14:25:41,EseGuapoCabron Banamex esta bn metido en pedos en la zona norte del estado de ve. 😔,Twitter for Android,0,0,,,,2016-04-07 16:32:53,502,49
232,citibanamex,2020-10-17 14:20:28,¿Quién se rifa con  $1950 y su tarjeta Citi Banamex? Tiren paro banda 😬,Twitter for iPhone,0,0,,,,2018-08-07 03:43:10,929,403
233,citibanamex,2020-10-17 14:18:31,"URGENTE: Luis Zapata, escritor de “El vampiro de la colonia Roma”, está hospitalizado en un hospital de Cuernavaca. Por favor, cualquier cantidad ayuda. Cuenta Banamex a nombre de Luis Zapata Quiroz. Número de tarjeta: 5204167044364495 y  Clabe: 002540476700144167. Por favor RT!",Twitter for Android,123,0,,,,2016-01-19 18:45:49,731,244
234,citibanamex,2020-10-17 14:16:23,⚠️El escritor LuisZapata ⚠️(El Vampiro) Se solicitan donativos para pagar su hospitalización debido a que  sufrió un paro cardiaco ¡Cualquier ayuda se agradece Los depósito pueden hacerse a  Luis Zapata Quiroz Banamex CLABE 002540476700144167 TARJETA 5204167044364495 ¡gracias!,Twitter for Android,2,0,,,,2009-08-21 00:55:12,505,564
235,citibanamex,2020-10-17 14:05:04,"tiiimy Puedes obtener la información de tu saldo y movimientos, a través de: • Banca electrónica BancaNet, en  https://t.co/ZVEVbUbGOi .  • Citibanamex Móvil App. • Cajeros y Sucursales Automáticas Citibanamex.",Sprinklr,0,0,,,,2009-07-28 21:15:49,74597,161712
236,citibanamex,2020-10-17 14:01:11,zuzialonso Soyfurrr ContactoCitibmx Siiiii evita Banamex es un pedo desde julio no me resuelven. No lo hagas!!!! Vete con bbva,Twitter for Android,0,1,,,,2009-07-09 22:56:57,650,636
241,citibanamex,2020-10-17 12:49:17,Trafico_ZMG en los cajeros de Banamex..sucursal del Alamo..amaneció un perro muerto.Parece lo golpearon con esta piedra..a quien se puede reportar? para evitar problemas se sanidad ? https://t.co/bEsOwqpRpR,Twitter for Android,0,0,,,,2009-08-20 22:18:42,478,201
244,citibanamex,2020-10-17 12:26:27,"luisghernan A mi me ignoran en Banamex, no puedo cancelar una cuenta, desde hace como 5 años, ¡me rindo!",Twitter for iPhone,0,1,,,,2010-02-11 06:00:41,2342,1153
245,citibanamex,2020-10-17 12:06:19,Oye japonton ya sabemos que bancos a parte de Banamex va. A funcionar con Apple Pay? Saludos,Twitter for iPhone,0,0,,,,2009-05-22 23:12:34,247,157
248,citibanamex,2020-10-17 10:33:17,"ALTANMx Hola no puedo recibir sms de verificación del banco , específicamente Banamex, soy de la OMV BAit",Twitter for Android,0,0,,,,2012-04-19 06:08:00,106,8
249,citibanamex,2020-10-17 09:23:15,"ContactoCitibmx 1886568-1Q FOLIO BANAMEX Ahí está mi folio, no me dieron respuesta, quiero mi dinero, pague el día límite de pago en un cajero inteligente.",Twitter for iPhone,0,0,,,,2011-08-02 02:52:15,229,917
251,citibanamex,2020-10-17 06:49:58,Soyfurrr Las de Banamex están buenas sus promos y exclusivas.  BBVA siempre está a la vanguardia en innovación y su app es la mejor lo malo es la atención por qué es muy grande.,Twitter for Android,0,0,,,,2014-11-29 08:01:16,369,55
256,citibanamex,2020-10-17 05:14:45,"natcosmicqueen Todos, la tendremos, por las nuevas condiciones de Banamex, jajajajaja.",Twitter for Android,0,0,,,,2018-11-28 22:29:45,316,284
257,citibanamex,2020-10-17 04:56:23,"Depositame 100 a mi cuenta BANAMEX 4766 8415 1641 8491 y te mando 50 videos mios cojiendo pasivas me mandas foto del comprobante y te los envio por whatsapp 5531588089 para que veas mis videos de activo, te van a encantar, te los envio ahorita por whatsapp https://t.co/zJ7E7QCqGz",Twitter for Android,0,0,,,,2020-10-15 02:59:34,246,56
258,citibanamex,2020-10-17 04:52:53,Antropomorfo Yo por eso no tengo cuenta en Banamex.,Twitter for Android,0,0,,,,2009-09-19 14:14:43,784,2237
259,citibanamex,2020-10-17 04:39:07,"A todos los globalizadores trasnochados, defensores del neoliberalismo. Porqué no globalizan las tasas de interés, comisiones, salarios mínimos, calidad prods, reglas ambientales, impuestos, educación, jubilaciones, etc. Etc.?  BBVA, banamex tienen el descaro de pedir donaciones https://t.co/If12E03O0m",Twitter for Android,3,0,,,,2015-03-06 14:51:48,470,470
260,citibanamex,2020-10-17 04:21:43,ContactoCitibmx ribarzabal Banamex es el peor banco  siempre lleno y CON TASAS ALTÍSIMAS!!!,Twitter for Android,0,1,,,,2015-01-20 22:45:53,941,88
262,citibanamex,2020-10-17 04:01:10,"mariethx Órale, pues que hackearon Banamex",Twitter for iPhone,0,0,,,,2010-04-10 04:47:06,210,132
264,citibanamex,2020-10-17 03:57:46,g_unicornioR Sera Banamex,Twitter Web App,0,0,,,,2020-02-04 21:27:43,985,24
265,citibanamex,2020-10-17 03:57:11,lostwithdragons ElhierCinta CajaMexicana BBVA_Mex Banamex tenía que ser!! Muchísimas Gracias x esta información 🙋🏻‍♀️,Twitter for iPhone,0,1,MX,city,"San Pedro Garza García, Nuevo León",2013-05-17 21:40:15,762,503
266,citibanamex,2020-10-17 03:57:03,Otro asalto a Banamex https://t.co/hB3B0vlxgF,WordPress.com,0,0,,,,2014-08-23 17:10:33,395,1010
267,citibanamex,2020-10-17 03:56:20,"mariaacciona ElhierCinta CajaMexicana BBVA_Mex Hace 13 años aproximadamente y el banco fue Banamex en Boca del Río, Ver.",Twitter Web App,0,1,,,,2010-06-27 16:20:55,1004,4544
268,citibanamex,2020-10-17 03:43:46,"sta_cruzatoyac Esa esquina donde se ve la gasolinera, si mal no recuerdo es la que hoy ocupa un Banamex. La construcción que se ve alta atrás era el Dorado 70, ahora convertido en el complejo de cines de la Plaza. La foto estaría tomada de la acera de enfrente del hoy Mama’s Pizza. Opiniones?",Twitter for iPhone,0,0,,,,2019-08-19 01:49:46,135,72
269,citibanamex,2020-10-17 03:31:31,"lpatriciacano (2262 6391) De la Ciudad de México, Guadalajara y Monterrey:   1-BANAMEX (1-226 2639) Del interior sin costo:  800 021 2345",Sprinklr,0,0,,,,2009-07-28 21:15:49,74597,161712
270,citibanamex,2020-10-17 03:31:11,"lpatriciacano Buenas noches una disculpa, si tienes Cargos no reconocidos reflejados en tus movimientos y quieres hacer la aclaración es necesario comunicarte con número secreto de audiomático: Te brindo los números en donde podrás ponerte en contacto: De la Ciudad de México:   BANAMEX-1",Sprinklr,0,0,,,,2009-07-28 21:15:49,74597,161712
271,citibanamex,2020-10-17 03:30:23,ribarzabal CondusefMX Citi Citibanamex CiroGomezL CarlosLoret Banamex de los peores bancos en mexico !!,Twitter for iPhone,0,1,,,,2012-06-07 05:26:51,484,147
274,citibanamex,2020-10-17 03:13:19,Éstos son sus datos bancarios para quien desee y pueda colaborar; también se agradecería que compartieran RT esta información. Gracias de antemano.  Luis Zapata Quiroz Banamex CLABE 002540476700144167 TARJETA 5204167044364495  (2/2),Twitter for iPhone,74,0,,,,2017-11-16 18:55:30,162,6
276,citibanamex,2020-10-17 03:10:06,"Addy8906 https://t.co/2217grB24m Por favor indícanos, ¿quieres solicitar el reporte por robo y solicitar la reposición? Quedamos atentos.-BV",Sprinklr,0,0,,,,2009-07-28 21:15:49,74597,161712
278,citibanamex,2020-10-17 02:58:29,"Depositame 100 a mi cuenta BANAMEX 4766 8415 1641 8491 y te mando 50 videos mios cojiendo pasivas me mandas foto del comprobante y te los envio por whatsapp 5531588089 para que veas mis videos de activo, te van a encantar, te los envio ahorita por whatsapp https://t.co/5k0r9I6LSD",Twitter for Android,0,0,,,,2020-10-15 02:59:34,246,56
280,citibanamex,2020-10-17 02:54:12,"karla_naguatt bbva Mmm a mi la de Banamex tampoco me dejaba hacer compras ni me aparecía dinero pero era por que tenía que ir al banco a actualizar mis datos, te lo piden cada no se cuanto",Twitter for iPhone,0,0,,,,2015-01-01 17:27:33,134,208
281,citibanamex,2020-10-17 02:45:25,"Terrible, querido Gabriel. Jinetean tu dinero tras una tentativa abierta de robo. En este país ya ni los cajeros automáticos son confiables. Menos los de Banamex. https://t.co/UWMbCqpNf9",Twitter for iPhone,1,0,,,,2018-10-03 02:57:14,2071,948
282,citibanamex,2020-10-17 02:44:32,"ContactoCitibmx QuintaMam Es el peor servicio de Banamex, me ha pasado 3 veces en la Pandemia!!!  Comparto tu viacrucis, si bien te va en dos meses te regresan algo, obvio después de otros dos meses en que te puedan dar un folio!!",Twitter for iPhone,1,0,,,,2018-10-03 02:57:14,2071,948
283,citibanamex,2020-10-17 02:42:26,PMakabrito Por q primos puro banamex... 😡,Twitter for Android,0,0,,,,2016-01-30 14:37:36,93,4
289,citibanamex,2020-10-17 02:15:30,"gaby_ventura31 Te ofrecemos una disculpa por esta situación, para dejar de recibir llamadas para ofrecerte servicios o promociones financieras, por favor realiza tu registro en la página oficial de REUS, consulta nuestro aviso de privacidad https://t.co/czF0yFQH13",Sprinklr,0,0,,,,2009-07-28 21:15:49,74597,161712
290,citibanamex,2020-10-17 01:47:32,"Si cada uno de los que hemos leído ElVampiroDeLaColoniaRoma en los últimos 10 años, DONARAMOS 10 PESOS, se juntaría una gran ayuda para LuisZapata.  Luis Zapata Quiroz Banamex CLABE 002540476700144167 TARJETA 5204167044364495 https://t.co/oNP5Srp1Ei",Twitter for iPhone,2,0,,,,2009-06-04 23:48:38,11854,12948
294,citibanamex,2020-10-17 01:20:45,ContactoCitibmx Me llegan los CPE de transferencias que yo le he hecho a un banco desde mi cuenta Banamex a una cuenta en Coppel.,Twitter for Android,0,0,,,,2018-04-28 03:28:43,447,337
296,citibanamex,2020-10-17 01:10:44,Oye ContactoCitibmx necesito un CEP de una transferencia que hice de mi cuenta Banamex a otra cuenta Banamex. Me parece absurdo que me aparezcan mejor los comprobantes de otros bancos y no los comprobantes de Banamex. Ayuden.,Twitter for Android,0,0,,,,2018-04-28 03:28:43,447,337
300,citibanamex,2020-10-17 18:24:37,Citibanamex Me podrían indicar si hay alguna sucursal en el area Veracruz Boca del Rio?,Twitter Web App,0,0,,,,2020-10-17 18:22:43,0,0
301,citibanamex,2020-10-17 18:18:00,"Citibanamex intente retirar efectivo desde un cajero, se atasco y no me da el efectivo,  el movimiento ya está registrado. Llevo 2 horas intentando comunicarme sin lograrlo!",Twitter for Android,0,0,,,,2019-01-04 22:09:20,206,14
302,citibanamex,2020-10-17 18:16:00,.Citibanamex te ofrece un descuento permanente del 30% a todos sus clientes para los conciertos digitales de ‘IRREPETIBLE’ ¡Disfruta los mejores eventos desde la comodidad de tu casa! ExperienciasCitibanamex CadaPasoCuenta https://t.co/ASl1U4VFhw https://t.co/VjHggAVcMZ,TweetDeck,0,0,,,,2010-01-04 23:57:24,178,139847
304,citibanamex,2020-10-17 18:08:29,"mario_dico50 También están hackeando la app móvil de Citibanamex, que es MUY insegura. Te cambian la contraseña, el banco no se da cuenta. Te vacían la chequera y todavía hacen disposiciones en efectivo de tus tarjetas a su cuenta y te dejan endeudado. El banco no se hace responsable.",Twitter for Android,1,0,,,,2017-07-05 21:01:11,607,99
305,citibanamex,2020-10-17 18:05:58,Acompaña a nuestro elenco multiestelar en una función streaming hecha exclusivamente para ti 🎤 🌟  Compra tus accesos en: https://t.co/bD8PLz3eat  y canta a todo pulmón este 7 de noviembre a las 8:30 pm.     Citibanamex ExperienciasCitibanamex https://t.co/4lNr43QToH,Twitter for iPhone,1,0,,,,2010-07-05 21:55:43,608,3813
306,citibanamex,2020-10-17 18:02:23,Citibanamex su línea no permite enlasar cortan la llamada y quiero cancelar mi tarjeta https://t.co/to7NVLKbzH,Twitter for Android,0,0,,,,2010-01-04 04:24:53,434,172
307,citibanamex,2020-10-17 17:59:35,sugafullofstars ¿Te gustaría dejarnos algún comentario o sugerencia para Citibanamex? Por favor indícanos los siguientes datos a nuestra dirección de correo electrónico contactocitibanamexciti.com,Sprinklr,0,1,,,,2009-07-28 21:15:49,74597,161712
309,citibanamex,2020-10-17 17:55:19,Citibanamex cadena de empleados ineficientes activar un token misión imposible y encima majaderos,Twitter for iPhone,0,0,,,,2010-08-15 18:55:42,29,177
310,citibanamex,2020-10-17 17:51:32,"Citibanamex no puedo creer que siendo una empresa tan grande y seria, nadie de sus empleados ni en sucursal ni en los números 800 pueda dar solución a nuestra situación. Que decepcionante !!!",Twitter for Android,8,0,,,,2020-09-01 03:49:18,170,2
311,citibanamex,2020-10-17 17:50:46,Citibanamex por que es tan difícil hablar con un ejecutivo por teléfono? Llevo 1 hora y nadie puede ayudar.,Twitter for Android,2,0,,,,2020-09-01 03:49:18,170,2
312,citibanamex,2020-10-17 17:49:56,sztajnszrajber NO COMPREN SEGUROS Citibanamex ContactoCitibmx SUS PÓLIZAS SON ENGAÑOSAS Y TE LAS SUBEN A MAS DEL TRIPLE DE UN AÑO A OTRO Y Citibanamex ContactoCitibmx TE CARGAN EL IMPORTE A TU TARJETA SIN NINGUNA AUTORIZACIÓN Y LO CANCELAS Y NO TE DEVUELVEN TU DINERO ES UN ROBO,Twitter Web App,0,0,,,,2019-08-15 16:05:54,8,2
313,citibanamex,2020-10-17 17:48:35,Citibanamex me pueden ayudar con una aclaración por qué sus ejecutivos no me quieres hacer el favor de meterla que por qué deben de pasar de 24 a 48 horas pero la operación que hice ya lleva una semana,Twitter for Android,0,0,,,,2020-09-01 03:49:18,170,2
314,citibanamex,2020-10-17 17:43:50,jorgeberry JohnMAckerman jenarovillamil NO COMPREN SEGUROS Citibanamex ContactoCitibmx SUS PÓLIZAS SON ENGAÑOSAS Y TE SUBEN A MAS DEL TRIPLE DE UN AÑO A OTRO Y Citibanamex ContactoCitibmx TE LO CARGAN A TU TARJETA SIN NINGUNA AUTORIZACIÓN Y LO CANCELAS Y NO TE DEVUELVEN TU DINERO ES UN ROBO,Twitter Web App,0,0,,,,2019-08-15 16:05:54,8,2
315,citibanamex,2020-10-17 17:41:15,manuelr95896725 NO COMPREN SEGUROS Citibanamex ContactoCitibmx SUS PÓLIZAS SON ENGAÑOSAS Y TE SUBEN A MAS DEL TRIPLE DE UN AÑO A OTRO Y Citibanamex ContactoCitibmx TE CARGAN EL IMPORTE A TU TARJETA SIN NINGUNA AUTORIZACIÓN Y LO CANCELAS Y NO TE DEVUELVEN TU DINERO ES UN ROBO,Twitter Web App,0,0,,,,2019-08-15 16:05:54,8,2
316,citibanamex,2020-10-17 17:38:10,AsocBancosMx PNUD_Mexico NO COMPREN SEGUROS Citibanamex ContactoCitibmx AsocBancosMx SUS PÓLIZAS SON ENGAÑOSAS DE UN AÑO A OTRO TE SUBEN A MAS DEL TRIPLE Y Citibanamex ContactoCitibmx AsocBancosMx TE CARGAN EL IMPORTE A TU TARJETA SIN NINGUNA AUTORIZACIÓN Y LO CANCELAS Y NO TE DEVUELVEN TU DINERO,Twitter Web App,0,0,,,,2019-08-15 16:05:54,8,2
317,citibanamex,2020-10-17 17:37:46,Citibanamex qué sucursal tienen abierta en sábado en leon? Llevamos 6 y ninguna....,Twitter for iPhone,0,0,,,,2012-08-27 20:45:02,122,18
318,citibanamex,2020-10-17 17:36:50,"Hace 3 meses mi papá fue a renovar contrato con Citibanamex en una de las pocas sucursales que daban servicio.  Pidieron un  celular, desde ahí BBVA_Mex BancoAzteca Coppel chopo_cercadeti entre otros hablan a todas horas preguntando por él. Donde está la confidencialidad?",Twitter for Android,0,1,,,,2011-03-01 23:19:00,830,796
319,citibanamex,2020-10-17 17:34:42,"FGallardo_88 En Citibanamex estamos para servirte, por favor contáctanos siempre que lo necesites. Será un gusto ayudarte.-DC",Sprinklr,0,0,,,,2009-07-28 21:15:49,74597,161712
320,citibanamex,2020-10-17 17:33:23,NO COMPREN SEGUROS Citibanamex ContactoCitibmx AsocBancosMx  SUS PÓLIZAS SON ENGAÑOSAS DE UN AÑO A OTRO TE LA SUBEN A MAS DEL TRIPLE Y Citibanamex ContactoCitibmx AsocBancosMx TE CARGAN EL IMPORTE A TU TARJETA SIN NINGUNA AUTORIZACIÓN LO CANCELAS NO TE DEVUELVEN DINERO,Twitter Web App,0,0,,,,2019-08-15 16:05:54,8,2
321,citibanamex,2020-10-17 17:28:57,"ContactoCitibmx Hola, necesito hacer aclaraciones de mi saldo con una tarjeta costco citibanamex y no tienen asesores telefonicos!!! 😑😑😑",Twitter for Android,0,0,,,,2013-12-02 06:21:42,4760,3270
322,citibanamex,2020-10-17 17:22:52,Citibanamex que sucursal abre en sábado en cancún???!!,Twitter for Android,0,0,,,,2010-03-07 14:40:57,199,47
323,citibanamex,2020-10-17 17:19:51,"ContactoCitibmx Contrate un Seguro de Casa CBNX, el cual dice: Ganaste un certificado de 300 puntos por contratar esta póliza y ser cliente de Citibanamex.  En menos de 72 horas recibirás vía correo electrónico tu código de activación de este certificado.",Twitter for Android,0,0,,,,2018-01-31 18:57:35,30,1
324,citibanamex,2020-10-17 17:17:59,Citibanamex Hola. Por favor podrían decirme cuales sucursales de CitiBanamex están abiertas hoy sábado en la ciudad de Oaxaca??,Twitter for Android,0,0,,,,2010-04-13 21:13:45,4108,708
325,citibanamex,2020-10-17 17:17:52,"📌 Ana, la asistente del Dr. Cooper te recuerda que tienes una cita en TOCTOC Streaming este domingo 25 de octubre. Tu acceso te está esperando en: https://t.co/2XDBMRwueI   Citibanamex ExperienciasCitibanamex. https://t.co/4k42iOss7q",Twitter Web App,1,0,,,,2016-09-01 22:18:45,2503,1792
326,citibanamex,2020-10-17 17:08:12,"luisfernando_hc Te sugerimos validar que estés usando un medio de pago habilitado, recuerda, tarjetas Visa y Mastercard de Citibanamex y que la compra se realice a través de nuestra plataforma, es decir, Mercado Libre. Si la novedad continúa, deberás validar directamente con la entidad bancaria.",CxSocial,0,0,,,,2012-07-25 20:29:21,50240,162793
327,citibanamex,2020-10-17 17:03:00,"Citibanamex Hola, extravié mi tarjeta, a dónde me puedo comunicar",Twitter for iPhone,0,0,,,,2013-02-15 21:25:25,88,22
329,citibanamex,2020-10-17 17:00:36,Aprovecha nuestra promoción de 3 MesesSinIntereses con tarjetas de crédito Citibanamex.  Válido en compras en nuestra TiendaEnLínea→ https://t.co/4jYqcbzGyA del 12 al 18 de octubre del 2020. https://t.co/Xu9Uhneu0H,Socialbakers,0,3,,,,2012-07-25 20:50:41,9,105030
330,citibanamex,2020-10-17 17:00:01,La Unidad Temporal para atención de COVID19 del Centro Citibanamex seguirá operando gracias al apoyo de la Fund_CarlosSlim 👏🙌😷   https://t.co/vPEi0lzWob,TweetDeck,0,4,,,,2009-05-04 17:17:28,1285,364046
331,citibanamex,2020-10-17 16:59:22,Citibanamex Hola ¿Que sucursales tienen abiertas en sábado en el área de mty? Me urge disponer de efectivo mayor a 9mil no tengo netkey,Twitter for Android,0,0,,,,2020-07-15 23:39:40,422,21
332,citibanamex,2020-10-17 16:58:15,ribarzabal ¿Te gustaría dejarnos algún comentario o sugerencia para Citibanamex? Por favor indícanos los siguientes datos a nuestra dirección de correo electrónico contactocitibanamexciti.com en donde llevaremos a cabo el registro de tu solicitud:,Sprinklr,0,0,,,,2009-07-28 21:15:49,74597,161712
333,citibanamex,2020-10-17 16:51:12,"Citibanamex incrementa sus condiciones a los Tarjetas de débito en plena pandemia, incrementando la obligación de $1,000 a $2,000 de saldo promedio mensual, más los gastos obligatorios que debe realizar el cliente, y lo peor, sin notificar. Pueden hacer esto impunemente?",Twitter for Android,0,0,,,,2016-06-11 20:30:58,60,38
334,citibanamex,2020-10-17 16:49:31,Citibanamex me robaron mi tarjeta y los ejecutivos por teléfono no pueden bloquearla (solo le pusieron un candado) alguna de tus sucursales en Guadalajara está abierta en este momento?,Twitter Web App,0,0,,,,2012-08-25 02:50:02,1648,140
335,citibanamex,2020-10-17 16:46:52,Esmerii ¿Te gustaría dejarnos algún comentario o sugerencia para Citibanamex? Por favor indícanos los siguientes datos a nuestra dirección de correo electrónico contactocitibanamexciti.com en donde llevaremos a cabo el registro de tu solicitud:,Sprinklr,0,0,,,,2009-07-28 21:15:49,74597,161712
336,citibanamex,2020-10-17 16:44:36,"CondusefMX Citi Citibanamex  CiroGomezL CarlosLoret CitiBanamex no está respetando contratos a PyMes, no está dejando  que paguemos la totalidad de créditos que se suspendieron por la pandemia. ¡No quiere perder ni un centavo de intereses! ¡Su ayuda, por favor!",Twitter for Android,239,0,,,,2019-07-28 14:43:11,289,289
337,citibanamex,2020-10-17 16:37:22,Citibanamex tiene una semana que tienen retenido mi dinero y no me pueden atender como le hago?,Twitter for Android,0,0,,,,2012-10-28 05:14:46,71,10
338,citibanamex,2020-10-17 16:36:33,"Citibanamex Hola, tengo dos dias marcando al servicio de atención a clientes porque me están haciendo retiros de mi tarjeta de crédito. Llamo, me dejan en espera y se cuelga la llamada, y me sigue llegando la notificación de otros cargos .COMO LE PUEDO HACER PARA QUE NE ATIENDA UN ASESOR?",Twitter for iPhone,0,0,,,,2010-01-23 20:42:50,37,18
339,citibanamex,2020-10-17 16:36:25,"Citibanamex miseleccionmx Hola, tengo dos dias marcando al servicio de atención a clientes porque me están haciendo retiros de mi tarjeta de crédito. Llamo, me dejan en espera y se cuelga la llamada, y me sigue llegando la notificación de otros cargos .COMO LE PUEDO HACER PARA QUE NE ATIENDA UN ASESOR?",Twitter for iPhone,0,0,,,,2010-01-23 20:42:50,37,18
342,citibanamex,2020-10-17 16:32:03,"ML_Ayuda Estoy usando mi tarjeta de Citibanamex, como dice la promoción. Se supone sólo aplica a Citibanamex y Banorte.",Twitter for Android,0,0,,,,2010-07-15 01:52:53,276,202
343,citibanamex,2020-10-17 16:20:55,Tengo más de dos meses queriendo cancelar un par de tarjetas y no tengo respuesta. Citibanamex,Twitter for iPhone,0,0,,,,2018-02-17 22:22:35,236,23
344,citibanamex,2020-10-17 16:20:10,"ML_Ayuda Estoy ingresando el código CITI10 para aprovechar el descuento. La compra es mayor a $1,000 y estoy pagando con Citibanamex. Pero sale esto. https://t.co/WS0hcrgqap",Twitter for Android,0,0,,,,2010-07-15 01:52:53,276,202
345,citibanamex,2020-10-17 16:14:15,ML_Ayuda por qué no puedo usar el cupón de Citibanamex? Trato de pagar con mi tarjeta y no me respeta el descuento.,Twitter for Android,0,0,,,,2010-07-15 01:52:53,276,202
346,citibanamex,2020-10-17 16:03:35,"xNoah31 Opción 3, opción 3, opción 3. En caso de no ser posible por esas alternativas para obtener tu NIP será necesario acudir directamente a la Sucursal Citibanamex de tu preferencia nuevamente, con tu identificación oficial vigente y la Tarjeta de la cual deseas el NIP,",Sprinklr,0,0,,,,2009-07-28 21:15:49,74597,161712
347,citibanamex,2020-10-17 16:03:14,"xNoah31 Hola, te comentamos que puedes obtener tu NIP en BancaNet o en Citibanamex Móvil App si cuentas con NetKey.  - Desde Audiomático (55 12262639 o 800 0212345) si ingresas con tu número de cliente y número secreto de Audiomático y cuentas con número de celular certificado.",Sprinklr,0,0,,,,2009-07-28 21:15:49,74597,161712
348,citibanamex,2020-10-17 16:01:35,"WalmartMexico Compre 1 iPhone por medio de la página de ustedes. Se perdió en tránsito y ni ustedes, ni Citibanamex se han querido responsables. Se la han pasado echándose la responsabilidad el uno al otro.",Twitter for iPhone,0,0,,,,2010-02-09 03:48:30,935,106
